grammar,type,meaning,lesson,link
"르 불규칙","irregular","르-irregular: adds extra ㄹ and 르 becomes 러/라","7","https://www.howtostudykorean.com/?page_id=294"
"ㄹ 불규칙","irregular","ㄹ-irregular: drop ㄹ before ㄴ/ㅂ/ㅅ-starting endings","7","https://www.howtostudykorean.com/?page_id=294"
"안","adverb","negation adverb placed before the verb/adjective","8","https://www.howtostudykorean.com/?page_id=297"
"지 않다","verb ending","negation attached to verb/adjective stem (not to do/be)","8","https://www.howtostudykorean.com/?page_id=297"
"아니다","copula","to not be (negative of 이다); uses 이/가 particle","8","https://www.howtostudykorean.com/?page_id=297"
"없다","verb","to not have / to not exist (opposite of 있다)","8","https://www.howtostudykorean.com/?page_id=297"
"싫다/싫어하다","adjective","to be disliked / to dislike","8","https://www.howtostudykorean.com/?page_id=297"
"게","suffix","adjective → adverb ending (e.g. 쉽게 = easily)","8","https://www.howtostudykorean.com/?page_id=297"
"히","suffix","adverbial ending for 하다 adjectives (e.g. 조용히)","8","https://www.howtostudykorean.com/?page_id=297"
"이야/야","copula","plain-form (반말) present of 이다 (이야 consonant, 야 vowel)","9","https://www.howtostudykorean.com/?page_id=502"
"이에요/예요","copula","polite present of 이다 (이에요 consonant, 예요 vowel)","9","https://www.howtostudykorean.com/?page_id=502"
"입니다","copula","formal present of 이다","9","https://www.howtostudykorean.com/?page_id=502"
"이었다/였다","copula","past tense of 이다 (이었 consonant, 였 vowel)","9","https://www.howtostudykorean.com/?page_id=502"
"ㄹ/을 것이다","verb ending","future tense (will do/be); ~ㄹ/을 거예요 in polite speech","9","https://www.howtostudykorean.com/?page_id=502"
"순 한국어 숫자 (하나, 둘, 셋…)","number","pure Korean numbers; used for counting objects and hours","10","https://www.howtostudykorean.com/?page_id=693"
"한자 숫자 (일, 이, 삼…)","number","Sino-Korean numbers; used for money, minutes, measurements","10","https://www.howtostudykorean.com/?page_id=693"
"개","counter","counter for general objects","10","https://www.howtostudykorean.com/?page_id=693"
"명","counter","counter for people","10","https://www.howtostudykorean.com/?page_id=693"
"번","counter","counter for number of times/actions","10","https://www.howtostudykorean.com/?page_id=693"
"시","counter","counter/marker for hours on a clock (pure Korean numbers)","10","https://www.howtostudykorean.com/?page_id=693"
"분","counter","counter/marker for minutes (Sino-Korean numbers)","10","https://www.howtostudykorean.com/?page_id=693"
"살","counter","counter for age (years old)","10","https://www.howtostudykorean.com/?page_id=693"
"번째","counter","ordinal suffix (first, second, third…); 첫 번째 for 'first'","10","https://www.howtostudykorean.com/?page_id=693"
"동안","noun","for (a duration of time) / while","11","https://www.howtostudykorean.com/unit1/unit-1-lessons-9-16/lesson-11/"
"에 (빈도)","particle","'per' / frequency within a time unit (e.g. 하루에 두 번)","11","https://www.howtostudykorean.com/unit1/unit-1-lessons-9-16/lesson-11/"
"지난/다음/이번","determiner","last / next / this (applied to time words)","11","https://www.howtostudykorean.com/unit1/unit-1-lessons-9-16/lesson-11/"
"시간/초/일/주/달/개월/년","counter","time-unit counters (hours/seconds/days/weeks/months/years)","11","https://www.howtostudykorean.com/unit1/unit-1-lessons-9-16/lesson-11/"
"들","suffix","pluralizing suffix (mainly for people)","12","https://www.howtostudykorean.com/?page_id=943"
"만","particle","only; replaces subject/object particle","12","https://www.howtostudykorean.com/?page_id=943"
"에서","particle","location where an action occurs / 'from' (origin)","12","https://www.howtostudykorean.com/?page_id=943"
"부터","particle","from (starting point, especially time)","12","https://www.howtostudykorean.com/?page_id=943"
"까지","particle","until / to (endpoint in time or place)","12","https://www.howtostudykorean.com/?page_id=943"
"(으)로","particle","by means of / with (tool, method, material, direction)","12","https://www.howtostudykorean.com/?page_id=943"
"몇 (불특정)","question word","'some' or 'how many' with a counter","12","https://www.howtostudykorean.com/?page_id=943"
"과/와","particle","and / with (과 after consonants, 와 after vowels)","13","https://www.howtostudykorean.com/?page_id=965"
"(이)랑","particle","and / with (이랑 after consonants, 랑 after vowels; casual)","13","https://www.howtostudykorean.com/?page_id=965"
"하고","particle","and / with (attaches to any word)","13","https://www.howtostudykorean.com/?page_id=965"
"에게","particle","to (a person; formal/written)","13","https://www.howtostudykorean.com/?page_id=965"
"에게서/한테서","particle","from (receiving from a person)","13","https://www.howtostudykorean.com/?page_id=965"
"(으)로부터","particle","from (a person or non-person source)","13","https://www.howtostudykorean.com/?page_id=965"
"을/를 위해(서)","expression","for the benefit/sake of (doing something for someone)","13","https://www.howtostudykorean.com/?page_id=965"
"에 대해","expression","about / concerning (a topic)","13","https://www.howtostudykorean.com/?page_id=965"
"되다 (하다 → 되다)","verb","passive formation: 하다 verbs become 되다 (to be done)","14","https://www.howtostudykorean.com/?page_id=1073"
"받다 (하다 → 받다)","verb","passive formation: receive an action (e.g. 존경받다)","14","https://www.howtostudykorean.com/?page_id=1073"
"아/어 있다","verb ending","state-of-being resulting from a passive/position verb","14","https://www.howtostudykorean.com/?page_id=1073"
"아/어지다","verb ending","passive/change-of-state ending added to verb stems","14","https://www.howtostudykorean.com/?page_id=1073"
"에 의해","expression","by means of / by (formal agent marking in passive)","14","https://www.howtostudykorean.com/?page_id=1073"
"아/어하다","verb ending","converts certain adjectives to verbs (e.g. 좋다 → 좋아하다)","15","https://www.howtostudykorean.com/?page_id=1166"
"와/과/랑/하고 (비교)","particle","with / and used for comparison (same as / different from)","15","https://www.howtostudykorean.com/?page_id=1166"
"들어가다/나오다/돌아가다 등","verb","compound directional verbs (go in / come out / return, etc.)","15","https://www.howtostudykorean.com/?page_id=1166"
"적","suffix","makes nouns descriptive ('relating to'); e.g. 경제적","16","https://www.howtostudykorean.com/?page_id=1237"
"적으로","suffix","adverbial form of ~적 (English '-ly'); e.g. 문화적으로","16","https://www.howtostudykorean.com/?page_id=1237"
"적이다","suffix","adjective form of ~적 (이다 added); e.g. 경제적이다","16","https://www.howtostudykorean.com/?page_id=1237"
"스럽다","suffix","makes adjectives from nouns ('having properties of'); 사랑스럽다","16","https://www.howtostudykorean.com/?page_id=1237"
"스럽게","suffix","adverbial form of ~스럽다 (e.g. 자연스럽게)","16","https://www.howtostudykorean.com/?page_id=1237"
"고","connective","and / and then; connects two clauses or actions","17","https://www.howtostudykorean.com/?page_id=1255"
"고 싶다","expression","want to (verb)","17","https://www.howtostudykorean.com/?page_id=1255"
"아/어서","connective","and so / and then (one action leads to/precedes another)","17","https://www.howtostudykorean.com/?page_id=1255"
"고 있다","verb ending","present progressive (am/is/are ___ing)","18","https://www.howtostudykorean.com/?page_id=1261"
"살고/알고/가지고 있다","expression","stative uses of ~고 있다 (live / know / have)","18","https://www.howtostudykorean.com/?page_id=1261"
"더","adverb","more (used to form comparatives)","19","https://www.howtostudykorean.com/?page_id=1357"
"보다","particle","than (comparison-target particle)","19","https://www.howtostudykorean.com/?page_id=1357"
"덜","adverb","less (opposite of 더)","19","https://www.howtostudykorean.com/?page_id=1357"
"가장/제일","adverb","the most (superlative marker)","19","https://www.howtostudykorean.com/?page_id=1357"
"잘하다","verb","to do (something) well","20","https://www.howtostudykorean.com/?page_id=1435"
"못하다","verb","to do (something) poorly / be unable","20","https://www.howtostudykorean.com/?page_id=1435"
"못","adverb","cannot / poorly (inability adverb before verb)","20","https://www.howtostudykorean.com/?page_id=1435"
"지 못하다","verb ending","cannot / was unable to (alternative to 못)","20","https://www.howtostudykorean.com/?page_id=1435"
"잘","adverb","well (modifies verbs)","20","https://www.howtostudykorean.com/?page_id=1435"
"습니까/ㅂ니까","sentence ending","formal high-respect question ending","21","https://www.howtostudykorean.com/?page_id=1591"
"니","sentence ending","informal/casual question ending","21","https://www.howtostudykorean.com/?page_id=1591"
"(으)ㄴ가(요)","sentence ending","soft question ending, typically for adjectives","21","https://www.howtostudykorean.com/?page_id=1591"
"나(요)","sentence ending","soft question ending, used with verbs and 있다/없다","21","https://www.howtostudykorean.com/?page_id=1591"
"왜","question word","why","21","https://www.howtostudykorean.com/?page_id=1591"
"언제","question word","when (can take ~부터/~까지)","21","https://www.howtostudykorean.com/?page_id=1591"
"어디","question word","where (can take ~까지)","21","https://www.howtostudykorean.com/?page_id=1591"
"누구/누가","question word","who; becomes 누가 as the subject","21","https://www.howtostudykorean.com/?page_id=1591"
"어떻게","question word","how (manner of an action)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"어때","question word","how is/was it? (asking for opinion/evaluation)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"뭐/무엇","question word","what (뭐 casual, 무엇 formal)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"무슨","question word","what / what kind of (before a noun)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"어떤","question word","which / what type (characteristics or choices)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"어느","question word","which (selection from limited options)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"얼마나","question word","how much / how often (before adjectives/adverbs)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"얼마","question word","how much (price, used with 이다)","22","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-22/"
"ㅎ 불규칙","irregular","ㅎ-irregular: drops ㅎ and changes vowel (color/demonstrative adjectives)","23","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-23/"
"색","suffix","attaches to color adjectives to make color nouns (e.g. 노란색)","23","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-23/"
"이렇다/그렇다/저렇다","adjective","to be like this/that; → 이런(adj), 이렇게(adv)","23","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-23/"
"기 전에","expression","before (doing); ~기 added to verb stem + 전에","24","https://www.howtostudykorean.com/lesson-24/"
"ㄴ/은 후에","expression","after (doing); past-modifier form + 후에","24","https://www.howtostudykorean.com/lesson-24/"
"전 (시간)","noun","before / ago (placed after time expressions)","24","https://www.howtostudykorean.com/lesson-24/"
"후 (시간)","noun","after / later (placed after time expressions)","24","https://www.howtostudykorean.com/lesson-24/"
"안/이내","noun","within (a timeframe)","24","https://www.howtostudykorean.com/lesson-24/"
"모든","determiner","every / all (placed before a noun)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"다","adverb","all (adverb indicating completeness)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"모두","pronoun","all / everybody (adverb or pronoun)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"나 (의문사 + 나)","suffix","added to question words for 'every' (어디나, 언제나, 누구나)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"ㄴ가 (의문사 + ㄴ가)","suffix","added to question words for 'some' (뭔가, 어딘가, 누군가)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"아무 + (나/도)","determiner","any / no- (아무나 anybody, 아무도 nobody with negative)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"마다","particle","each / every (attached directly to a noun)","25","https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-25/"
"~는 것 (present)","expression","nominalizer/attributive: describe a noun with a present-tense verb clause ('the thing that does')","26","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-26/"
"~ㄴ/은 것 (past)","expression","attributive past: describe a noun with a past verb clause ('the thing that did')","26","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-26/"
"~ㄹ/을 것 (future)","expression","attributive future: describe a noun with a future verb clause ('the thing that will do')","26","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-26/"
"~던","verb ending","describes a noun via a past action that was repeated/ongoing; carries personal recollection","27","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-27/"
"~았/었던","verb ending","describes a noun via a fully completed past action no longer occurring; recalled from experience","27","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-27/"
"~ㄴ/은 (simple past attributive)","verb ending","describes a noun with a simple past action, no added nuance","27","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-27/"
"~았/었던 (with adjectives)","adjective","noun had a quality in the past it no longer has; recalled experience","27","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-27/"
"ㄹ 불규칙 + ~는 것 (열다→여는)","irregular","ㄹ-irregular: stem ㄹ drops before ~는 when describing a noun","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"ㅅ 불규칙 + ~ㄴ/은 (짓다→지은)","irregular","ㅅ-irregular: stem ㅅ drops before ~은 when describing a noun","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"ㄷ 불규칙 + ~ㄴ/은 (걷다→걸은)","irregular","ㄷ-irregular: ㄷ changes to ㄹ before ~은 when describing a noun","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"ㅂ 불규칙 + ~ㄴ/은 (돕다→도운)","irregular","ㅂ-irregular: ㅂ changes to 우 before ~은 when describing a noun","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"~ㄴ/은 + 싶다","expression","describing a noun with a desired action (싶다 behaves adjective-like)","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"~는 + 있다/없다","expression","있다/없다 take ~는 (not ~은) when describing a noun, behaving like verbs","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"가장/제일 + ~는/ㄴ 것","expression","superlative/'favorite': 'the thing I most...'","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"~에 있어서","expression","'when it comes to / regarding'","28","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-28/"
"~기 (nominalizer)","suffix","converts a verb into a noun (nominalizes a verb phrase)","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"~기 시작하다","expression","'to start/begin doing something'","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"~기 싫다","expression","'to not want to do / to dislike doing'","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"~ㅁ/음 (nominalizer)","suffix","converts a verb/adjective into a noun (ㅁ after vowel, 음 after consonant)","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"ㄹ 불규칙 + ~ㅁ/음 (살다→삶)","irregular","ㄹ-irregular nominalization: ㄹ + ㅁ form a double final consonant","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"ㅎ 불규칙 + ~ㅁ/음 (그렇다→그럼)","irregular","ㅎ-irregular nominalization: ㅎ drops and ㅁ attaches","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"그럼 / 그럼요","expression","'yes, that's right / of course' (affirmative response)","29","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-29/"
"~는지","verb ending","expresses uncertainty/indirect question about a present action ('whether/if')","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"~았/었는지","verb ending","past-tense uncertainty/indirect question ('whether ... did')","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"~ㄹ/을지","verb ending","future-tense uncertainty/indirect question ('whether ... will')","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"~ㄴ/은지 (adjective)","adjective","uncertainty/indirect question with adjectives ('whether it is')","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"~ㄹ/을지도 모르다","expression","'might / it is possible that' (added uncertainty nuance)","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"~ㄴ/은 지 + 시간 + 되다","expression","'it has been (time) since I did...' (duration since an action)","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"안 + ~ㄴ/은 지 + 시간 + 되다","expression","'it has been (time) since I last did / haven't done in...'","30","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-30/"
"~인 (이다 + ㄴ/은)","copula","이다 used attributively to describe a noun ('a person who is...')","31","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-31/"
"~인지","copula","이다 + 지: uncertainty/indirect question ('whether it is...')","31","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-31/"
"~인지 아닌지","expression","'whether or not (it is)' in an indirect question","31","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-31/"
"~인 것","expression","nominalizes an 이다 clause into a noun phrase ('the fact that it is')","31","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-31/"
"~ㄴ/는다는 것","expression","quoted/declarative nominalization ('the fact that...') using ~는 것 with 이다 plain form","31","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-31/"
"~(으)려고","connective","'with the intention of / in order to' (expresses purpose)","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~(으)려고 노력하다","expression","'to try / put effort into doing something'","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~(으)러","connective","'to come/go in order to' (purpose, used with 가다/오다)","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~기 위해(서)","expression","'for the purpose of / in order to' (alternative purpose expression)","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~아/어 보다","expression","'to try / attempt / give something a try'","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~ㄴ/은 적이 있다","expression","'to have the experience of / have done before'","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~ㄴ/은 적이 없다","expression","'to have never done / no experience of'","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~아/어 본 적이 있다/없다","expression","'have (never) tried doing something' (experiential trial)","32","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-32/"
"~는 중(이다)","expression","'in the middle of / currently doing'","33","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-33"
"~는 동안","expression","'while / during the time that' (simultaneous actions)","33","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-33"
"명사 + 중(에)","expression","'among / between / of (those things)' (selection from options)","33","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-33"
"시간 + 중으로","expression","'by sometime (a deadline with vague exact timing)'","33","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-33"
"명사 + 중이에요 (공사 중)","expression","'is in progress / under (construction, etc.)' with 하다-nouns","33","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-26-33/lesson-33"
"~거리다","suffix","forms verbs of repeated/continuous action (흔들거리다 to shake, 반짝거리다 to sparkle)","34","https://www.howtostudykorean.com/lesson-34/"
"~에 관하다 / ~에 관련하다","expression","'related to / regarding' (alternative to ~에 대하다)","34","https://www.howtostudykorean.com/lesson-34/"
"일단","adverb","'once / first / for now' (indicates a first sequential action)","34","https://www.howtostudykorean.com/lesson-34/"
"아직","adverb","'still / yet' (used in present and negative-past contexts)","34","https://www.howtostudykorean.com/lesson-34/"
"여전히","adverb","'still' (continuing state into the foreseeable future)","34","https://www.howtostudykorean.com/lesson-34/"
"별로","adverb","'not really / not that (much)' (requires a negative ending)","34","https://www.howtostudykorean.com/lesson-34/"
"전혀","adverb","'not at all' (requires a negative ending; stronger than 별로)","34","https://www.howtostudykorean.com/lesson-34/"
"훨씬","adverb","'much more / by far' (intensifies comparisons)","34","https://www.howtostudykorean.com/lesson-34/"
"자기","pronoun","'self / oneself'; refers back to a third person mentioned twice","34","https://www.howtostudykorean.com/lesson-34/"
"자신","pronoun","'oneself' (when the subject is also the object)","34","https://www.howtostudykorean.com/lesson-34/"
"~ㄹ/을 것 같다","expression","'will probably / might' (future probability/guess)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"~ㄴ/은 것 같다","expression","'it seems that (did/is)' (past probability with evidence; adjective present state)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"~는 것 같다","expression","'it seems as though (is doing)' (present probability from observed evidence)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"~았/었을 것 같다","expression","'probably did' (past probability as a blind guess, no direct evidence)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"~았/었던 것 같다","expression","'it seems it was (but no longer is)' (recalled past probability)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"~인 것 같다","expression","'seems to be' (probability about identity/state with 이다)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"그럴/그런 것 같다","expression","'probably so / seems like that' (from 그렇다 + 것 같다)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"~겠다 (probability)","verb ending","'must be / would be' (present probability based on evidence)","35","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-35/"
"보이다","verb","'to be seen / to appear' (passive of 보다)","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
"~같이 보이다","expression","'looks like (a noun)' (expresses resemblance)","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
"같다","adjective","'to be like / the same as' (indicates similarity)","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
"~는 것 같이 보이다","expression","'looks like (a clause) / appears to be doing'","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
"맛 같다 / 냄새 같다","expression","'tastes like / smells like (a noun)'","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
"~아/어 보이다","expression","'looks (adjective)' (appears happy, sad, strong, etc.)","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
"들리다","verb","'to be heard' (passive for auditory perception)","36","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-36/"
